date,prot_ter,prot_terdum,prot_us,prot_usdum,jihad,tvideo,zarb,zarb,ghazwa,usefp,usaid,usimmi
17052,0,0,0,0,0,0,0,0,0,0,0,0
17053,0,0,0,0,0,0,0,0,0,0,0,0
17054,0,0,0,0,0,0,0,0,0,0,0,0
17055,0,0,0,0,0,0,0,0,0,0,0,0
17056,0,0,0,0,0,0,0,0,0,0,0,0
17057,0,0,0,0,55,0,0,0,0,0,0,0
17058,0,0,0,0,0,0,0,0,0,0,73,0
17059,0,0,0,0,59,0,0,0,0,0,0,0
17060,0,0,0,0,64,0,0,0,0,0,0,0
17061,0,0,0,0,0,0,0,0,0,0,0,0
17062,0,0,0,0,0,0,0,0,0,0,0,0
17063,0,0,0,0,0,0,0,0,0,100,0,0
17064,0,0,0,0,0,0,0,0,0,0,0,0
17065,0,0,0,0,0,0,0,0,0,0,74,0
17066,0,0,0,0,0,0,0,0,0,0,0,0
17067,0,0,0,0,0,100,0,0,0,0,0,0
17068,0,0,0,0,0,0,0,0,0,0,0,0
17069,0,0,0,0,63,0,0,0,0,0,0,0
17070,0,0,0,0,62,0,0,0,0,0,0,0
17071,0,0,0,0,61,0,0,0,0,0,0,0
17072,0,0,0,0,0,0,0,0,0,0,0,0
17073,0,0,0,0,0,0,0,0,0,0,0,0
17074,0,0,0,0,0,0,0,0,0,0,0,0
17075,0,0,0,0,0,0,0,0,0,0,0,0
17076,0,0,0,0,0,0,0,0,0,0,0,0
17077,0,0,0,0,0,0,0,0,0,0,0,0
17078,0,0,0,0,0,0,0,0,0,0,0,0
17079,0,0,0,0,0,0,0,0,0,0,0,0
17080,0,0,0,0,0,0,100,100,0,0,0,0
17081,0,0,0,0,57,0,100,100,0,0,0,0
17082,0,0,0,0,0,0,0,0,0,0,0,0
17083,0,0,0,0,0,0,0,0,0,0,0,0
17084,0,0,0,0,0,90,0,0,0,0,0,0
17085,0,0,0,0,0,94,0,0,0,0,0,0
17086,0,0,0,0,0,0,0,0,0,0,0,0
17087,0,0,0,0,0,0,0,0,0,0,0,0
17088,0,0,0,0,63,0,0,0,0,0,0,0
17089,0,0,0,0,0,0,0,0,0,0,0,0
17090,0,0,0,0,0,0,0,0,0,0,0,0
17091,0,0,0,0,0,0,0,0,0,0,0,0
17092,0,0,0,0,0,0,0,0,0,0,0,0
17093,0,0,0,0,0,0,0,0,0,0,0,0
17094,0,0,0,0,74,0,0,0,0,0,0,0
17095,0,0,0,0,0,0,0,0,0,0,0,0
17096,0,0,0,0,0,0,0,0,0,0,0,0
17097,0,0,0,0,85,0,0,0,0,0,0,0
17098,0,0,0,0,0,0,0,0,0,0,0,0
17099,0,0,0,0,0,0,0,0,0,0,0,0
17100,0,0,0,0,100,0,0,0,0,0,0,0
17101,0,0,0,0,0,0,0,0,0,0,0,0
17102,0,0,0,0,0,0,0,0,0,0,0,0
17103,0,0,0,0,0,0,0,0,0,0,0,0
17104,0,0,1,1,0,0,0,0,0,0,0,0
17105,0,0,5,1,0,0,0,0,0,0,0,0
17106,0,0,2,1,0,0,0,0,0,0,0,0
17107,0,0,0,0,0,0,0,0,0,0,0,62
17108,0,0,0,0,57,0,0,0,0,0,0,0
17109,0,0,0,0,0,0,0,0,0,0,0,0
17110,0,0,0,0,0,0,0,0,0,0,0,0
17111,0,0,0,0,0,0,0,0,0,0,0,0
17112,0,0,0,0,0,0,0,0,0,0,0,0
17113,0,0,2,1,0,0,0,0,0,0,0,0
17114,0,0,1,1,64,0,0,0,0,0,0,0
17115,0,0,0,0,57,0,0,0,0,0,0,0
17116,0,0,1,1,56,0,0,0,0,0,0,0
17117,0,0,0,0,0,0,0,0,0,0,0,0
17118,0,0,0,0,0,0,0,0,0,0,0,0
17119,0,0,0,0,0,0,0,0,0,0,0,0
17120,0,0,0,0,0,0,0,0,0,0,0,0
17121,0,0,0,0,0,0,0,0,0,0,0,0
17122,0,0,0,0,52,0,0,0,0,0,0,0
17123,0,0,0,0,0,0,0,0,0,0,0,0
17124,0,0,0,0,0,0,0,0,0,0,100,0
17125,0,0,0,0,51,0,0,0,0,0,69,0
17126,0,0,0,0,49,0,0,0,0,0,0,0
17127,0,0,0,0,0,0,0,0,0,0,0,0
17128,0,0,0,0,0,0,0,0,0,0,0,0
17129,0,0,0,0,0,0,0,0,0,0,0,0
17130,0,0,0,0,0,0,0,0,0,0,0,0
17131,0,0,0,0,0,0,0,0,0,0,0,0
17132,0,0,0,0,0,0,0,0,0,0,0,0
17133,0,0,0,0,52,0,0,0,0,0,0,0
17134,0,0,0,0,0,0,0,0,0,0,0,0
17135,0,0,0,0,52,0,0,0,0,0,0,0
17136,0,0,0,0,0,0,0,0,0,0,0,0
17137,0,0,0,0,0,0,0,0,0,0,0,0
17138,0,0,0,0,0,0,0,0,0,0,0,0
17139,0,0,0,0,0,0,0,0,0,0,0,0
17140,0,0,0,0,0,0,0,0,0,0,0,0
17141,0,0,0,0,0,0,0,0,0,0,0,0
17142,0,0,0,0,0,0,0,0,0,0,0,0
17143,0,0,0,0,0,0,0,0,0,0,0,0
17144,0,0,0,0,0,0,0,0,0,0,0,0
17145,0,0,0,0,0,0,0,0,0,0,0,0
17146,0,0,0,0,0,0,0,0,0,0,0,0
17147,0,0,0,0,0,0,0,0,0,0,0,0
17148,0,0,0,0,0,0,0,0,0,0,0,0
17149,0,0,2,1,0,0,0,0,0,0,0,0
17150,0,0,0,0,0,0,0,0,0,0,0,0
17151,0,0,0,0,0,0,0,0,0,0,0,0
17152,0,0,0,0,0,0,0,0,0,0,0,0
17153,0,0,0,0,0,0,0,0,0,0,0,0
17154,0,0,0,0,0,0,0,0,0,0,0,0
17155,0,0,0,0,0,0,0,0,0,0,0,0
17156,0,0,0,0,49,0,0,0,0,0,0,0
17157,0,0,0,0,0,0,0,0,0,0,0,0
17158,0,0,0,0,0,0,0,0,0,0,0,0
17159,0,0,0,0,78,0,0,0,0,0,0,0
17160,0,0,0,0,0,0,0,0,0,0,0,0
17161,0,0,0,0,0,0,0,0,0,0,0,0
17162,0,0,0,0,54,0,0,0,0,0,0,0
17163,0,0,0,0,0,0,0,0,0,0,0,0
17164,0,0,0,0,0,0,0,0,0,0,0,0
17165,0,0,1,1,0,0,0,0,0,0,0,0
17166,0,0,0,0,0,0,0,0,0,0,0,0
17167,0,0,0,0,0,0,0,0,0,0,0,100
17168,0,0,0,0,0,0,0,0,0,0,0,0
17169,0,0,0,0,82,0,0,0,0,0,0,0
17170,0,0,0,0,0,0,0,0,0,0,0,0
17171,0,0,0,0,0,0,0,0,0,0,0,0
17172,0,0,0,0,80,0,0,0,0,0,0,0
17173,0,0,1,1,0,0,0,0,0,0,0,0
17174,0,0,0,0,0,0,0,0,0,0,0,0
17175,0,0,0,0,0,0,0,0,0,0,0,0
17176,0,0,0,0,0,0,0,0,0,0,0,0
17177,2,1,0,0,0,0,0,0,0,0,0,0
17178,0,0,0,0,0,0,0,0,0,0,0,0
17179,0,0,5,1,75,0,0,0,0,0,0,0
17180,0,0,2,1,0,0,0,0,0,0,0,0
17181,0,0,0,0,0,0,0,0,0,0,0,0
17182,0,0,0,0,0,0,0,0,0,0,0,0
17183,2,1,1,1,0,0,0,0,0,0,0,0
17184,0,0,0,0,0,0,0,0,0,0,0,0
17185,0,0,0,0,0,0,0,0,0,0,0,0
17186,0,0,0,0,0,0,0,0,0,0,0,0
17187,0,0,0,0,98,0,0,0,0,0,0,0
17188,0,0,3,1,0,0,0,0,0,0,0,0
17189,0,0,6,1,0,0,0,0,0,0,0,0
17190,0,0,2,1,0,0,0,0,0,0,0,0
17191,0,0,0,0,0,0,0,0,0,0,0,0
17192,0,0,0,0,0,0,0,0,0,0,0,0
