date,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
18065,0,0,0,0,0,0,5,0
18066,1,2,2,0,0,2,3,0
18067,0,0,0,0,0,0,3,0
18068,0,0,0,0,0,0,3,0
18069,0,0,0,0,0,0,5,0
18070,0,0,0,0,0,0,3,0
18071,2,2,2,1,0,1,1,0
18072,0,0,0,0,0,0,3,0
18073,0,0,0,0,0,0,2,0
18074,0,0,0,0,0,0,4,0
18075,0,0,0,0,0,0,3,0
18076,0,0,0,0,0,0,1,0
18077,0,0,0,0,0,0,4,0
18078,0,0,0,0,0,0,5,0
18079,0,0,0,0,0,0,3,0
18080,0,0,0,0,0,0,4,0
18081,2,2,2,0,0,2,6,0
18082,0,0,0,0,0,0,5,0
18083,0,0,0,0,0,0,10,0
18084,0,0,0,0,0,0,5,0
18085,1,1,1,0,0,1,2,0
18086,2,2,2,0,0,2,3,0
18087,0,0,0,0,0,0,5,0
18088,1,1,1,0,0,1,2,0
18089,0,0,0,0,0,0,3,0
18090,0,0,0,0,0,0,4,0
18091,0,0,0,0,0,0,4,0
18092,0,0,0,0,0,0,4,0
18093,0,0,0,0,0,0,8,0
18094,0,0,0,0,0,0,4,0
18095,1,1,1,0,0,1,2,0
18096,0,0,0,0,0,0,6,0
18097,0,0,0,0,0,0,3,0
18098,0,0,0,0,0,0,5,0
18099,0,0,0,0,0,0,5,0
18100,0,0,0,0,0,0,6,0
18101,0,0,0,0,0,0,4,0
18102,0,0,0,0,0,0,6,0
18103,0,0,0,0,0,0,5,0
18104,0,0,0,0,0,0,6,0
18105,0,0,0,0,0,0,10,0
18106,0,0,0,0,0,0,6,0
18107,0,0,0,0,0,0,3,0
18108,0,0,0,0,0,0,1,0
18109,0,0,0,0,0,0,2,0
18110,0,0,0,0,0,0,5,0
18111,0,0,0,0,0,0,8,0
18112,0,0,0,0,0,0,0,0
18113,0,0,0,0,0,0,7,0
18114,1,1,1,1,0,0,5,0
18115,0,0,0,0,0,0,6,0
18116,0,0,0,0,0,0,3,0
18117,0,0,0,0,0,0,1,0
18118,0,0,0,0,0,0,6,0
18119,0,0,0,0,0,0,3,0
18120,1,1,0,0,1,1,2,0
18121,0,0,0,0,0,0,1,0
18122,0,0,0,0,0,0,4,0
18123,0,0,0,0,0,0,3,0
18124,0,0,0,0,0,0,3,0
18125,0,0,0,0,0,0,4,0
18126,0,0,0,0,0,0,3,0
18127,0,0,0,0,0,0,2,0
